Coco Montes
Elehuris Montero
Anse Moore
Jo-Jo Moore
McKinley Moore
Scrappy Moore
Whitey Moore
Wilcy Moore
Hiker Moran
Orber Moreno
Dauri Moreta
Nyjer Morgan
Pidgey Morgan
Bugs Bennett
Bitsy Mott
Heinie Mueller
Yairo Munoz
Simmy Murch
Amby Murray
Hi Myers
Norihiro Nakamura
Cholly Naranjo
Packy Naughton
Dioner Navarro
Yamaico Navarro
Greasy Neale
Offa Neal
Bots Nekola
Dovydas Neverauskas
Ljay Newsome
Tricky Nichols
Fu-Te Ni
Laynce Nix
Trot Nixon
The Only Nolan
Takahito Nomura
Juan Carlos Oviedo
Nyls Nyman
Cinders O'Brien
Whitey Ock
Blue Moon Odom
Heinie Odom
Rougned Odor
Seunghwan Oh
Chi-Chi Olivo
Fancy O'Neil
Peaches O'Neill
Magglio Ordonez
Franquelis Osoria
Akinori Otsuka
Stubby Overmire
Yip Owens
Jayhawk Owens
Erv Palica
Enoli Paredes
Byung Ho Park
Chan Ho Park
Salty Parker
Slicker Parks
Dode Paskert
Bronswell Patrick
Liover Peguero
Heinie Peitz
Wily Mo Pena
Kewpie Pennington
Wandy Peralta
Cionel Perez
Melido Perez
Neifi Perez
Yorkis Perez
Yusmeiro Petit
Big Jeff Pfeffer
Marr Phillips
Lip Pike
Squiz Pillion
Stolmy Pimentel
Josmil Pinto
Lerton Pinto
Renyel Pinto
Togie Pittinger
Whitey Platt
Cum Posey
Dykes Potter
Boog Powell
Boog Powell
Hosken Powell
Arquimedez Pozo
Tot Pressnell
Jurickson Profar
Blondie Purcell
Pid Purdy
Finners Quinlan
Wimpy Quinn
Old Hoss Radbourn
Pep Rambert
Yefry Ramirez
Chucho Ramos
Edubray Ramos
Heliot Ramos
Toad Ramsey
Sap Randall
Ribs Raney
Bugs Raymond
Raudy Read
Tike Redman
Icicle Reeder
Pee Wee Reese
Pokey Reese
Bugs Reisigl
Denyi Reyes
Franmil Reyes
Jo-Jo Reyes
Nap Reyes
Nikco Riesgo
Yacksel Rios
Swede Risberg
Pop Rising
Whitey Ritterson
Bombo Rivera
Tink Riviere
Eppa Rixey
Sendy Rleal
Roxey Roach
Skel Roach
Bip Roberts
Jeriome Robertson
Billy Jo Robidoux
Rabbit Robinson
Aneury Rodriguez
Guilder Rodriguez
Joely Rodriguez
Liu Rodriguez
Nerio Rodriguez
Nivaldo Rodriguez
Wandy Rodriguez
Wilking Rodriguez
Yerry Rodriguez
Preacher Roe
Bullet Rogan
Esmil Rogers
Fraley Rogers
Packy Rogers
Cookie Rojas
Enny Romero
JoJo Romero
Niuman Romero
Eguy Rosario
Wilin Rosario
Goody Rosen
Braggo Roth
Bama Rowell
Schoolboy Rowe
Pants Rowland
Jean-Pierre Roy
Normie Roy
Nap Rucker
Muddy Ruel
Esteury Ruiz
Keibert Ruiz
Norge Ruiz
Reb Russell
Blondy Ryan
Cyclone Ryan
Rosy Ryan
Hyun Jin Ryu
Jae Kuk Ryu
Olmedo Saenz
Pony Sager
Benj Sampson
Keyvius Sampson
Yolmer Sanchez
Duaner Sanchez
War Sanders
Heinie Sand
Reiver Sanmartin
Hirokazu Sawamura
Heinie Scheer
Crazy Schmit
Jumbo Schoeneck
Ossee Schrecongost
Pop Schriver
Heinie Schuble
Hack Schumann
Pi Schwert
LeGrant Scott
Socks Seibold
Epp Sell
Kodai Senga
Jae Weong Seo
Leyson Septimo
Wascar Serrano
Atahualpa Severino
Socks Seybold
Orator Shafer
Shag Shaughnessy
Dupee Shaw
Hunky Shaw
Nap Shea
Spec Shea
Razor Shines
Mule Shirley
Costen Shockley
Strick Shofner
Toots Shultz
Magneuris Sierra
Andrelton Simmons
Hack Simmons
Sibby Sisti
Terrmel Sledge
Bull Smith
Klondike Smith
Phenomenal Smith
Pop Smith
Pop-boy Smith
Skyrocket Smith
Stub Smith
D. Smith
Wib Smith
Esix Snead
Chappie Snodgrass
Cooney Snyder
Pop Snyder
Yangervis Solarte
