Choo Freeman
Hersh Freeman
Julie Freeman
LaVel Freeman
Sal Frelick
Walt French
Hanley Frias
Pepe Frias
Grier Friday
Woodie Fryman
Judge Fuchs
Tito Fuentes
Kyuji Fujikawa
Shintaro Fujinami
Kosuke Fukudome
Kazuo Fukumori
Dot Fulghum
Shorty Fuller
Chick Fullis
Washington Fulmer
Liz Funk
Les Fusselman
Chick Gagnon
Nemo Gaines
Augie Galan
Milt Galatzer
Cam Gallagher
Shorty Gallagher
Yovani Gallardo
Zac Gallen
Chick Galloway
Balvino Galvez
Pud Galvin
Mat Gamel
Daff Gammons
Chick Gandil
Gussie Gannon
Babe Ganzel
Barbaro Garbey
Adolis Garcia
Amaury Garcia
Aramis Garcia
Avisail Garcia
Chico Garcia
Damaso Garcia
Deivi Garcia
Dermis Garcia
Jarlin Garcia
Kiko Garcia
Leury Garcia
Maikel Garcia
Nomar Garciaparra
Onelki Garcia
Rosman Garcia
Robel Garcia
Rony Garcia
Yimi Garcia
Gid Gardner
Debs Garms
Perci Garner
Cito Gaston
Milt Gaston
Welcome Gaston
Doc Gautreau
Sid Gautreaux
Dinty Gearin
Geoff Geary
Huck Geary
Count Gedney
Scooter Gennett
Rufe Gentry
Lefty George
Les German
Gonzalez Germen
Lefty Gervais
Doc Gessler
Pretzels Getzien
Rube Geyer
Chappie Geygan
Norwood Gibson
Whitey Gibson
Norm Gigon
Benji Gil
Tookie Gilbert
Geronimo Gil
Carden Gillenwater
Claral Gillenwater
Haddie Gill
Pit Gilman
Tinsley Ginn
Mychal Givens
Whitey Glazner
Kid Gleason
Jerry Don Gleaton
Sal Gliatto
Norm Glockson
Jot Goar
Luiz Gohara
Izzy Goldstein
Walt Goldsby
Purnal Goldy
Walt Golvin
Jonny Gomes
Yan Gomes
Chile Gomez
Jeanmar Gomez
Lefty Gomez
Chi Chi Gonzalez
Dicky Gonzalez
Eusebio Gonzalez
Fredi Gonzalez
Gio Gonzalez
Geremi Gonzalez
Lariel Gonzalez
Marwin Gonzalez
Merandy Gonzalez
Romy Gonzalez
Severino Gonzalez
Wiki Gonzalez
Herb Goodall
Ival Goodman
Marv Goodwin
Pep Goodwin
Sid Gordon
MacKenzie Gore
Herb Gorman
Howie Gorman
Tuffy Gosewisch
Goose Goslin
Howie Goss
Yuli Gurriel
Mase Graffen
Milt Graff
Moonlight Graham
Peaches Graham
Skinny Graham
Tiny Graham
Yasmani Grandal
Zach Granite
Mudcat Grant
Beiker Graterol
Brusdar Graterol
Sid Graves
Chummy Gray
Dolly Gray
Milt Gray
June Greene
Paddy Greene
Pumpsie Green
Scarborough Green
Zach Green
Vean Gregg
Didi Gregorius
Howie Gregory
Reddy Grey
Ivy Griffin
John-Ford Griffin
Pug Griffin
Guido Grilli
Burleigh Grimes
Marv Grissom
Heinie Groh
Lew Groh
Turkey Gross
Zac Grotz
Lefty Grove
Deivy Grullon
Sig Gryska
Mayckol Guaipe
Cecilio Guante
Creighton Gubanich
Marv Gudat
Reymin Guduan
Deolis Guerra
Javy Guerra
Javy Guerra
Tayron Guerrero
Whitey Guese
Giomar Guevara
Ozzie Guillen
Skip Guinn
Lefty Guise
Ad Gumbert
Red Gunkel
Hy Gunning
Lourdes Gurriel
Jandel Gustave
Bucky Guth
Edwards Guzman
Geraldo Guzman
Jedd Gyorko
Yamid Haad
Moose Haas
Mule Haas
Irv Hach
Mert Hackett
Bump Hadley
Chick Hafey
Bradin Hagens
Rip Hagerman
Noodles Hahn
Hinkey Haines
Chip Hale
DeMarlo Hale
Darick Hall
Herb Hall
Jocko Halligan
Newt Halliday
Irv Hall
Mel Hall
Doc Hamann
Atlee Hammaker
Garvin Hamner
Granny Hamner
Truck Hannah
Devern Hansack
Snipe Hansen
Alen Hanson
Mel Harder
Jumbo Harting
Red Hardy
Bubbles Hargrave
Pinky Hargrave
Spec Harkness
Slim Harrell
Bucky Harris
Bubba Harris
Herb Harris
Hobie Harris
Hogan Harris
Lum Harris
Pep Harris
Rit Harrison
Roric Harrison
Slim Harriss
Spence Harris
Vic Harris
Hub Hart
Jim Ray Hart
Chick Hartley
Geoff Hartlieb
Gabby Hartnett
Topsy Hartsel
Zaza Harvey
Ziggy Hasbrook
Shigetoshi Hasegawa
Herb Hash
Hilly Hathaway
Thorny Hawkes
LaTroy Hawkins
Wynn Hawkins
Chicken Hawks
Pink Hawley
Howie Haworth
Ke'Bryan Hayes
Red Hayworth
Drungo Hazewood
Doc Hazelton
Fran Healy
Egyptian Healy
Ryon Healy
Bunny Hearn
Bunny Hearn
Hughie Hearne
Deunte Heath
Adeiny Hechavarria
Gorman Heimueller
Crese Heismann
Heinie Heitmuller
Mel Held
Woodie Held
Heinie Heltzel
Ducky Hemp
Rollie Hemsley
Solly Hemus
Hardie Henderson
Elrod Hendricks
Moxie Hengel
Butch Henline
Les Hennessy
Olaf Henriksen
Butch Henry
Dutch Henry
Snake Henry
Ubaldo Heredia
Babe Herman
Chico Hernandez
Darwinzon Hernandez
Daysbel Hernandez
Diory Hernandez
Elieser Hernandez
Elier Hernandez
Evelio Hernandez
Gorkys Hernandez
Livan Hernandez
Runelvys Hernandez
Teoscar Hernandez
Yadiel Hernandez
Yonny Hernandez
Dilson Herrera
Odubel Herrera
Pancho Herrera
Rosell Herrera
Walt Herrell
Yoslan Herrera
Herb Herring
Lefty Herring
Orel Hershiser
Whitey Herzog
Codi Heuer
Brewer Hicklen
Nat Hicks
Irv Higginbotham
Pinky Higgins
Oral Hildebrand
Belden Hill
Cam Hill
Hob Hiller
Glenallen Hill
Koyie Hill
Milt Hill
Vedie Himsl
Hunkey Hines
Gordie Hinkle
Dalier Hinojosa
Dutch Hinrichs
Herb Hippauf
Yoshihisa Hirano
Keston Hiura
Myril Hoag
Butch Hobson
Oris Hockett
Mel Hoderlein
Gomer Hodge
Shovel Hodge
Lefty Hoerst
Red Hoff
Stew Hofferth
Izzy Hoffman
Tex Hoffman
Solly Hofman
Mortimer Hogan
Shanty Hogan
Elon Hogsett
Dutch Holland
Mul Holland
Bug Holliday
Holly Hollingshead
Bobo Holloman
Chick Holmes
Ducky Holmes
Ducky Holmes
Wattie Holm
Herm Holshouser
Red Holt
Abie Hood
Lefty Hopper
Shags Horan
Trader Horne
Hanson Horsey
Sadie Houck
Lefty Houtz
Elston Howard
Dixie Howell
Dixie Howell
Les Howe
Red Howell
Shorty Howe
Dann Howitt
Tex Hoyle
LaMarr Hoyt
Waite Hoyt
Walt Hriniak
Wei-Chieh Huang
Chin-lung Hu
Chih-Wei Hu
Nat Hudson
Sid Hudson
Rhyne Hughes
Tex Hughson
Tug Hulett
Catfish Hunter
Herb Hunter
Lem Hunter
Newt Hunter
Torii Hunter
Walt Huntzinger
Butch Huskey
Herb Hutson
Jae-gyun Hwang
Ham Hyatt
Ham Iburg
Ryota Igarashi
Kei Igawa
Raisel Iglesias
Tadahito Iguchi
Ender Inciarte
Garey Ingram
Mel Ingram
Riccardo Ingram
Happy Iott
Hooks Iott
Hideki Irabu
Walt Irwin
Kazuhisa Ishii
Hisashi Iwakuma
Akinori Iwamura
Hansel Izquierdo
Maicer Izturis
Shoeless Joe Jackson
Roy Lee Jackson
Zach Jackson
Zach Jackson
Baby Doll Jacobson
Beany Jacobson
Brook Jacoby
Bucky Jacobs
Bucky Jacobsen
Merwin Jacobson
Spook Jacobs
Sig Jakucki
Drey Jameson
Lefty James
Skip James
Vic Janowicz
Kenley Jansen
Hi Jasper
Tex Jeanes
Daulton Jefferies
Irv Jeffries
Fergie Jenkins
Geoff Jenkins
Alamazoo Jennings
Hughie Jennings
Nat Jewett
D'Angelo Jimenez
Dany Jimenez
Elvio Jimenez
Ubaldo Jimenez
Charlton Jimerson
Waldis Joaquin
Abbie Johnson
Augie Johns
Ban Johnson
Lefty Johnson
Davey Johnson
Doc Johnston
Footer Johnson
Jing Johnson
John Henry Johnson
Judy Johnson
Rankin Johnson
Rankin Johnson
Rondin Johnson
Rontrez Johnson
Si Johnson
Spud Johnson
Syl Johnson
Vic Johnson
Youngy Johnson
Smead Jolley
Levin Jones
Andruw Jones
Binky Jones
Broadway Jones
Bumpus Jones
Chipper Jones
Cleon Jones
Cowboy Jones
Cobe Jones
Davy Jones
Fielder Jones
Howie Jones
Ri Jones
Jacque Jones
JaCoby Jones
Jahmai Jones
Nippy Jones
Red Jones
Ruppert Jones
Sad Sam Jones
Tex Jones
Bubber Jonnard
Dutch Jordan
Milt Jordan
Rip Jordan
Slats Jordan
Arndt Jorgens
Pinky Jorgensen
Spider Jorgensen
Corban Joseph
Addie Joss
Pop Joy
Howie Judson
Red Juelich
Edouard Julien
Janson Junk
Walt Justis
Skip Jutze
Herb Juul
Kila Ka'aihue
Jung Ho Kang
Erv Kantlehner
Herb Karpel
Benn Karr
Takashi Kashiwada
Gosuke Katoh
Kenshin Kawakami
Munenori Kawasaki
Cactus Keck
Vic Keen
Katsy Keifer
Keone Kela
Mick Kelleher
Red Kellett
Walt Kellner
Skeeter Kell
Win Kellum
Herb Kelly
Kick Kelly
Red Kelly
Ren Kelly
Speed Kelly
Dutch Kemner
Howie Kendrick
Brickyard Kennedy
Doc Kennedy
Maury Kent
Orie Kerlin
Dickey Kerr
Doc Kerr
Mel Kerr
Grae Kessinger
Masao Kida
Yusei Kikuchi
Red Killefer
Newt Kimball
Byung-Hyun Kim
Ha-Seong Kim
Hyun Soo Kim
Kwang Hyun Kim
Sun-Woo Kim
Chick King
Silver King
Walt Kinney
Walt Kinzie
Thornton Kipper
LaRue Kirby
Rube Kisinger
Red Kleinow
Cotton Knaupp
Reiss Knehr
Dusten Knight
Hub Knolls
Punch Knoll
Guido Knudson
Masahide Kobayashi
Pip Koehler
Satoru Komiyama
Dae-Sung Koo
Howie Koplitz
Lew Krausse
Lew Krausse
Red Kress
Howie Krist
Zach Kroenke
Rube Kroh
Bowie Kuhn
Bub Kuhn
Walt Kuhn
Hung-Chih Kuo
Hiroki Kuroda
Whitey Kurowski
Masumi Kuwata
Coco Laboy
Hi Ladd
Flip Lafferty
Lerrin LaGrow
Nap Lajoie
Dinelson Lamet
Les Lancaster
Doc Land
Doc Landis
Kenesaw Landis
Ced Landrum
Hobie Landrith
Tito Landrum
Chappy Lane
Marv Lane
Walt Lanfranconi
Chip Lang
Erv Lange
Rimp Lanier
Red Lanning
Carney Lansford
Yovanny Lara
Norm Larker
Vic LaRose
Swede Larsen
Lyn Lary
Jumbo Latham
Chick Lathers
Tacks Latimer
Mat Latos
Cookie Lavagetto
Doc Lavan
Roxie Lawson
Hillis Layne
Les Layton
Raudel Lazo
Jalal Leach
Bevo LeBourveau
Razor Ledbetter
Wil Ledezma
Dae-ho Lee
Derrek Lee
Dud Lee
Leron Lee
Sang-Hoon Lee
Thornton Lee
Zach Lee
Norm Lehr
Nemo Leibold
Lefty Leifield
Doc Leitner
Dutch Leonard
Dutch Leonard
Arcenio Leon
Izzy Leon
Dutch Lerchen
Walt Lerian
Gorham Leverett
Walt Leverenz
Duffy Lewis
Rommie Lewis
Robinson Leyer
Sixto Lezcano
Dutch Lieber
Chang-Yong Lim
Rufino Linares
Che-Hsuan Lin
Vive Lindaman
Em Lindbeck
Walt Linden
Tzu-Wei Lin
Rymer Liriano
Ad Liska
Carlisle Littlejohn
Paddy Livingston
Radhames Liz
Graeme Lloyd
John Henry Lloyd
Chia-Jen Lo
Stu Locklin
Whitey Lockman
Skip Lockwood
Nook Logan
Zach Logue
Sherm Lollar
Vic Lombardi
Jeoff Long
Lep Long
Red Long
Shed Long
Davey Lopes
Albie Lopez
Alejo Lopez
Aquilino Lopez
Javy Lopez
Mendy Lopez
Yoan Lopez
Bris Lord
Lefty Lorenzen
Slim Love
Mem Lovett
Torey Lovullo
Turk Lown
Peanuts Lowrey
Zac Lowther
Red Lucas
Con Lucid
Dawel Lugo
Ruddy Lugo
Urbano Lugo
Wild Bill Luhrsen
Memo Luna
Gordy Lund
Dolf Luque
Rube Lutzke
Red Lutz
Zach Lutz
Sparky Lyle
Walt Lynch
Byrd Lynn
Red Lynn
Hersh Lyons
Dad Lytle
Dixon Machado
Vimael Machin
Biz Mackey
Reddy Mack
Waddy MacPhee
Bunny Madden
Kid Madden
Scotti Madison
Bligh Madris
Sal Madrid
Kenta Maeda
Sherry Magee
Harl Maggert
Harl Maggert
Sal Maglie
Stubby Magner
Mikie Mahtook
Duster Mails
Kazuhisa Makita
Candy Maldonado
Mal Mallette
Herm Malloy
Jule Mallonee
Les Mallon
Fergy Malone
Lew Malone
Pepe Mangual
Effa Manley
Rube Manning
Les Mann
Moxie Manuel
Heinie Manush
Kirt Manwaring
Josias Manzanillo
Ravelo Manzanillo
Rolla Mapel
Georges Maranda
Rabbit Maranville
Firpo Marberry
Walt Marbet
Tucupita Marcano
Sugar Ray Marimon
Jhan Marinez
Red Marion
Brailyn Marquez
Rube Marquard
Oreste Marrero
Lefty Marr
Chip Marshall
Cuddles Marshall
Doc Marshall
Doc Marshall
Rube Marshall
Damaso Marte
Doc Martell
Jefry Marte
Ketel Marte
Starling Marte
Yunior Marte
Anastacio Martinez
Babe Martin
Chito Martinez
Cristhian Martinez
Doc Martin
Hersh Martin
Leonys Martin
Morrie Martin
Pepper Martin
Phonney Martin
Renie Martin
Shairon Martis
Silvio Martinez
Speed Martin
Stu Martin
Tippy Martinez
Tino Martinez
Wedo Martini
Onan Masaoka
Leech Maskrey
Red Massey
Walt Masters
Walt Masterson
Christy Mathewson
Osiris Matos
Pascual Matos
Daisuke Matsuzaka
Hideki Matsui
Kazuo Matsui
Wid Matthews
Cloy Mattox
Dal Maxvill
Yunesky Maya
Buckshot May
Erskine Mayer
Paddy Mayes
Jakie May
Milt May
Chick Maynard
Nomar Mazara
Vin Mazzaro
Mel Mazzera
Sport McAllister
Zach McAllister
Dixie McArthur
Wickey McAvoy
Pryor McBee
Algie McBride
Bake McBride
Macay McBride
Swat McCabe
Sparrow McCaffrey
Dutch McCall
Windy McCall
Arch McCarthy
Lew McCarty
Hervey McClellan
Zach McClellan
Amby McConnell
Chas McCormick
Les McCrabb
Judge McCredie
Lindy McDaniel
Red McDermott
Donzell McDonald
Tex McDonald
Oddibe McDowell
Pryor McElveen
Chappie McFarland
Herm McFarland
Howie McFarland
Mel McGaha
Chippy McGarr
Jumbo McGinnis
Stoney McGlynn
Tug McGraw
Slim McGrew
Deck McGuire
Irish McIlveen
Stover McIlwain
Stuffy McInnis
Matty McIntyre
Reeve McKay
Red McKee
Walt McKeel
Kit McKenna
Zach McKinstry
Polly McLarry
Jud McLaughlin
Kid McLaughlin
Doc McMahon
Sadie McMahon
Norm McMillan
Dinny McNamara
Norm McNeil
Bid McPhee
Herb McQuaid
