Kid Madden
Scotti Madison
Sal Madrid
Kenta Maeda
Sherry Magee
Harl Maggert
Harl Maggert
Sal Maglie
Mikie Mahtook
Candy Maldonado
Mal Mallette
Jule Mallonee
Les Mallon
Lew Malone
Pepe Mangual
Rube Manning
Les Mann
Kirt Manwaring
Josias Manzanillo
Rolla Mapel
Georges Maranda
Walt Marbet
Jhan Marinez
Red Marion
Brailyn Marquez
Rube Marquard
Oreste Marrero
Lefty Marr
Chip Marshall
Doc Marshall
Doc Marshall
Rube Marshall
Damaso Marte
Doc Martell
Jefry Marte
Starling Marte
Yunior Marte
Anastacio Martinez
Babe Martin
Cristhian Martinez
Doc Martin
Hersh Martin
Morrie Martin
Pepper Martin
Renie Martin
Silvio Martinez
Speed Martin
Stu Martin
Tippy Martinez
Tino Martinez
Onan Masaoka
Red Massey
Walt Masters
Walt Masterson
Christy Mathewson
Osiris Matos
Pascual Matos
Daisuke Matsuzaka
Hideki Matsui
Kazuo Matsui
Cloy Mattox
Dal Maxvill
Erskine Mayer
Paddy Mayes
Jakie May
Milt May
Chick Maynard
Nomar Mazara
Vin Mazzaro
Mel Mazzera
Zach McAllister
Dixie McArthur
Pryor McBee
Algie McBride
Sparrow McCaffrey
Dutch McCall
Windy McCall
Arch McCarthy
Lew McCarty
Hervey McClellan
Zach McClellan
Chas McCormick
Les McCrabb
Judge McCredie
Lindy McDaniel
Red McDermott
Donzell McDonald
Tex McDonald
Pryor McElveen
Howie McFarland
Mel McGaha
Stoney McGlynn
Tug McGraw
Slim McGrew
Irish McIlveen
Stover McIlwain
Matty McIntyre
Reeve McKay
Red McKee
Walt McKeel
Kit McKenna
Zach McKinstry
Polly McLarry
Jud McLaughlin
Kid McLaughlin
Doc McMahon
Sadie McMahon
Norm McMillan
Norm McNeil
Herb McQuaid
Mart McQuaid
Mox McQuery
Norm McRae
Doc Medich
Irv Medlinger
Dutch Meier
Walt Meinert
Jenrry Mejia
Dutch Mele
Rube Melton
Donaldo Mendez
Minnie Mendoza
Win Mercer
Spike Merena
Whit Merrifield
Lennie Merullo
Melky Mesa
Butch Metzger
Hensley Meulens
Irish Meusel
Dutch Meyer
Cass Michaels
Kam Mickolio
Keynan Middleton
Bing Miller
Corky Miller
Doc Miller
Hughie Miller
Lemmie Miller
Norm Miller
Red Miller
Stu Miller
Walt Miller
Hoby Milner
Cotton Minahan
Zach Miner
Blas Minor
Minnie Minoso
Herb Moford
Kid Mohler
Dustan Mohr
Fenton Mole
Bengie Molina
Izzy Molina
Yadier Molina
Blas Monaco
Andruw Monasterio
Yoan Moncada
Sid Monge
Zach Monroe
Balor Moore
Euel Moore
Ferdie Moore
Kerwin Moore
Molly Moore
Kendrys Morales
Osmer Morales
Herbie Moran
Lew Moren
Red Morgan
Moe Morhardt
Akeel Morris
Doyt Morris
Hap Morse
Bubba Morton
Sparrow Morton
